adv_pkg,base_pkg,category,typomind_cat
enquire-js, enquire.js, Swapped Words,{'delimiter modification': 1}
enquire-js, enquire.js, Common Typos,{'delimiter modification': 1}
deco, decko, Omitted Characters,{'1-step D-L dist': 1}
bath, batch, Omitted Characters,{'1-step D-L dist': 1}
msgpack, msgpackr, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
bue, vue, Common Typos,NA
miio, minio, Omitted Characters,NA
cryptojs, crypto-js, Omitted Characters,"{'1-step D-L dist': 1, 'asemantic substitution': 1}"
imi, ini, Common Typos,{'homographic replacement': 1}
vue-toaster, vue-toasted, Common Typos,{'1-step D-L dist': 1}
comutils, domutils, Common Typos,{'1-step D-L dist': 1}
format-message, messageformat, Swapped Words,"{'sequence reordering': 1, '1-step D-L dist': 1, 'delimiter modification': 1}"
replace-webpack-plugin, webpack-plugin-replace, Swapped Words,NA
autocomplete, autocompleter, Omitted Characters,NA
js, ms, Common Typos,NA
merge-ranges, ranges-merge, Swapped Words,{'sequence reordering': 1}
