adv_pkg,base_pkg,category,typomind_cat
pouchdb-binary-util, pouchdb-binary-utils, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
cookie-es, es-cookie, Swapped Words,NA
angular-qrcode, angularx-qrcode, Omitted Characters,{'1-step D-L dist': 1}
queue-promise, promise-queue, Swapped Words,{'sequence reordering': 1}
dom-parse, dom-parser, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
cookie-parse, cookie-parser, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
back-off, backoff, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
back-off, backoff, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
polyfill-nodelist-foreach, nodelist-foreach-polyfill, Swapped Words,{'sequence reordering': 1}
cashify, dashify, Common Typos,{'1-step D-L dist': 1}
angular-gridster, angular-gridster2, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
fiber, fibers, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
testing-library__dom, dom-testing-library, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
ng-currency, ngx-currency, Omitted Characters,{'1-step D-L dist': 1}
urest, purest, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
pmd, pmx, Common Typos,NA
fr, fd, Common Typos,NA
reeverse, treeverse, Omitted Characters,{'1-step D-L dist': 1}
jtm, htm, Common Typos,NA
day-picker-react, react-day-picker, Swapped Words,{'sequence reordering': 1}
deep-camelcase-keys, camelcase-keys-deep, Swapped Words,{'sequence reordering': 1}
dot2, dot, Version Number,{'prefix/ suffix augmentation': 1}
dot., dot, Swapped Words,NA
dot., dot, Common Typos,NA
angular-apollo, apollo-angular, Swapped Words,{'sequence reordering': 1}
passport-google-idtoken, passport-google-id-token, Omitted Characters,{'delimiter modification': 1}
stream-end, end-stream, Swapped Words,{'sequence reordering': 1}
srw, swr, Swapped Characters,NA
tickle, tsickle, Omitted Characters,{'1-step D-L dist': 1}
wrapper, wrapped, Common Typos,{'1-step D-L dist': 1}
mocha-co, co-mocha, Swapped Words,NA
ms-queue, js-queue, Common Typos,{'1-step D-L dist': 1}
reat, react, Omitted Characters,{'1-step D-L dist': 1}
reat, rest, Common Typos,{'1-step D-L dist': 1}
faker2, faker, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
notify, noptify, Omitted Characters,{'1-step D-L dist': 1}
a11y, pa11y, Omitted Characters,{'1-step D-L dist': 1}
bas, abs, Swapped Characters,NA
bas, has, Common Typos,{'homographic replacement': 1}
react-native-slider3, react-native-slider, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
react-sparkline, react-sparklines, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
koaw, klaw, Common Typos,{'1-step D-L dist': 1}
fead, read, Common Typos,{'1-step D-L dist': 1}
key-master, keymaster, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
key-master, keymaster, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
owl, wol, Swapped Characters,NA
bootstrap-css, bootstrap-scss, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
babel-relay-plugin, babel-plugin-relay, Swapped Words,{'sequence reordering': 1}
replace-string-loader, string-replace-loader, Swapped Words,NA
cache-engine, engine-cache, Swapped Words,{'sequence reordering': 1}
svgpng, svg2png, Omitted Characters,{'1-step D-L dist': 1}
route-parse, route-parser, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
sem, esm, Swapped Characters,NA
dip, dup, Common Typos,NA
convexhull, convex-hull, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
stdn, stdin, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
tam, tarn, Common Typos,NA
ssh_node, node-ssh, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
djb2, djb2a, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
hson-loader, json-loader, Common Typos,{'1-step D-L dist': 1}
window-get, get-window, Swapped Words,{'sequence reordering': 1}
gzipped, gzipper, Common Typos,{'1-step D-L dist': 1}
run-on, run-con, Omitted Characters,{'1-step D-L dist': 1}
ghost, vhost, Common Typos,{'1-step D-L dist': 1}
gulp-fun, gulp-run, Common Typos,{'1-step D-L dist': 1}
rmotion, emotion, Common Typos,{'1-step D-L dist': 1}
z3, s3, Common Typos,NA
unionfind, union-find, Omitted Characters,{'delimiter modification': 1}
wir, wif, Common Typos,NA
nsapi, nwsapi, Omitted Characters,{'1-step D-L dist': 1}
mqtt_packet, mqtt-packet, Swapped Words,{'delimiter modification': 1}
mqtt_packet, mqtt-packet, Common Typos,{'delimiter modification': 1}
tess, ress, Common Typos,{'1-step D-L dist': 1}
js-uuid, uuid-js, Swapped Words,{'sequence reordering': 1}
js-uuid, is-uuid, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
dest, destr, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
dest, dset, Swapped Characters,{'1-step D-L dist': 1}
dest, rest, Common Typos,{'1-step D-L dist': 1}
recaptcha-v2, recaptcha-v3, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
esri, ssri, Common Typos,{'1-step D-L dist': 1}
string-repeat, repeat-string, Swapped Words,{'sequence reordering': 1}
rpc-websocket, rpc-websockets, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
vue-uid, vue-uuid, Omitted Characters,{'1-step D-L dist': 1}
json_, json, Swapped Words,NA
json_, jsonp, Common Typos,{'1-step D-L dist': 1}
ng-socket-io, ngx-socket-io, Omitted Characters,{'1-step D-L dist': 1}
elint, eslint, Omitted Characters,{'1-step D-L dist': 1}
react-sticky-table, react-table-sticky, Swapped Words,{'sequence reordering': 1}
glob-parse, parse-glob, Swapped Words,{'sequence reordering': 1}
react-modal2, react-modal, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
api-doc, apidoc, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
api-doc, apidoc, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
node-gs, node-fs, Common Typos,{'1-step D-L dist': 1}
css-lint, csslint, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
css-lint, csslint, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
juri, jsuri, Omitted Characters,{'1-step D-L dist': 1}
juri, muri, Common Typos,{'1-step D-L dist': 1}
flag, flags, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
flag, flat, Common Typos,{'1-step D-L dist': 1}
cclist, cyclist, Omitted Characters,{'1-step D-L dist': 1}
synp2, synp, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
fake, faker, Omitted Characters,NA
express-winston-2, express-winston, Version Number,NA
auth, oauth, Omitted Characters,NA
export-loader, exports-loader, Omitted Characters,NA
nano-id, nanoid, Swapped Words,NA
nano-id, nanoid, Common Typos,NA
ngx-charts, ngx-echarts, Omitted Characters,{'1-step D-L dist': 1}
ng-cookies, ng2-cookies, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
uest, jest, Common Typos,{'1-step D-L dist': 1}
babel-plugin-svg-react, babel-plugin-react-svg, Swapped Words,{'sequence reordering': 1}
copy-object, object-copy, Swapped Words,{'sequence reordering': 1}
iam, yam, Common Typos,NA
nog, not, Common Typos,NA
sino, sinon, Omitted Characters,{'1-step D-L dist': 1}
luster, cluster, Omitted Characters,{'1-step D-L dist': 1}
coy, cpy, Common Typos,NA
ssg, ssf, Common Typos,NA
react-sync, react-async, Omitted Characters,{'1-step D-L dist': 1}
base-ui, baseui, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
base-ui, baseui, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
stream-json-stringify, json-stream-stringify, Swapped Words,{'sequence reordering': 1}
redux-intl-react, react-intl-redux, Swapped Words,{'sequence reordering': 1}
jsom, jsdom, Omitted Characters,{'1-step D-L dist': 1}
jsom, json, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
git-ignore-parser, gitignore-parser, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
ts-config, tsconfig, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ts-config, tsconfig, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
erre, errs, Common Typos,{'1-step D-L dist': 1}
urlregexp, url-regexp, Omitted Characters,{'delimiter modification': 1}
webpack-zip-plugin, zip-webpack-plugin, Swapped Words,{'sequence reordering': 1}
yarm, yarn, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
ipaddr, ip6addr, Omitted Characters,{'1-step D-L dist': 1}
blubird, bluebird, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
stream-combine, stream-combiner, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
stripbom, strip-bom, Omitted Characters,{'delimiter modification': 1}
js-xpath, xpath.js, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
biginteger, big-integer, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
npe, nps, Common Typos,NA
jjade, jade, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
math.js, mathjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
math.js, mathjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
jest-jasmine1, jest-jasmine2, Common Typos,NA
porp-types, prop-types, Swapped Characters,{'1-step D-L dist': 1}
mio, moo, Common Typos,NA
object-extender, object-extended, Common Typos,{'1-step D-L dist': 1}
xcept, except, Omitted Characters,{'1-step D-L dist': 1}
recache, decache, Common Typos,{'1-step D-L dist': 1}
error3, error, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
typed-json-schema, json-schema-typed, Swapped Words,{'sequence reordering': 1}
aws41, aws4, Version Number,{'1-step D-L dist': 1}
hest, jest, Common Typos,{'1-step D-L dist': 1}
deasync2, deasync, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
blake2, blake2b, Omitted Characters,{'1-step D-L dist': 1}
gilp-util, gulp-util, Common Typos,{'1-step D-L dist': 1}
raf-component, component-raf, Swapped Words,{'sequence reordering': 1}
react-delay, react-relay, Common Typos,{'1-step D-L dist': 1}
gulp.sass, gulp-sass, Swapped Words,{'delimiter modification': 1}
gulp.sass, gulp-sass, Common Typos,{'delimiter modification': 1}
test-table, text-table, Common Typos,{'1-step D-L dist': 1}
liveserver, live-server, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
ubs, usb, Swapped Characters,NA
ng-search-filter, ng2-search-filter, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
html-2-canvas, html2canvas, Swapped Words,"{'1-step D-L dist': 2, 'delimiter modification': 1}"
lugg, slugg, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
dotenv-save, dotenv-safe, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
http_server, http-server, Swapped Words,{'delimiter modification': 1}
http_server, http-server, Common Typos,{'delimiter modification': 1}
reate-react-app, create-react-app, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
va-core, dva-core, Omitted Characters,{'1-step D-L dist': 1}
ng-multiselect-dropdown9, ng-multiselect-dropdown, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
metro4, metro, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
robust-determinant-3, robust-determinant, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
habe, hable, Omitted Characters,{'1-step D-L dist': 1}
sleep.promise, sleep-promise, Swapped Words,{'delimiter modification': 1}
sleep.promise, sleep-promise, Common Typos,{'delimiter modification': 1}
tree-directory, directory-tree, Swapped Words,{'sequence reordering': 1}
preact-compat2, preact-compat, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
nenv, unenv, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
react-onclick-outside, react-onclickoutside, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ts, st, Swapped Characters,NA
ts, fs, Common Typos,{'homographic replacement': 1}
ysnp, synp, Swapped Characters,{'1-step D-L dist': 1}
log4j, log4js, Omitted Characters,NA
dom-is, is-dom, Swapped Words,{'sequence reordering': 1}
resource-loader2, resource-loader, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
yus, yjs, Common Typos,NA
jimp2, jimp, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
sshpm, sshpk, Common Typos,{'1-step D-L dist': 1}
recaptcha-google, google-recaptcha, Swapped Words,{'sequence reordering': 1}
pprettier, prettier, Repeated Characters,"{'homophonic similarity': True, 'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
codemirror-react, react-codemirror, Swapped Words,{'sequence reordering': 1}
react-native-dash-2, react-native-dash, Version Number,NA
resumed, resumer, Common Typos,{'1-step D-L dist': 1}
nss, jss, Common Typos,NA
bft, fbt, Swapped Characters,NA
scrollto-element, scroll-to-element, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
vue-cli2, vue-cli, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
jstt, jstat, Omitted Characters,{'1-step D-L dist': 1}
rss3, rss, Version Number,{'prefix/ suffix augmentation': 1}
findir, findit, Common Typos,{'1-step D-L dist': 1}
slox, sloc, Common Typos,{'1-step D-L dist': 1}
dyp, dup, Common Typos,NA
bbcode.js, bbcodejs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
bbcode.js, bbcodejs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tmpfile, tempfile, Omitted Characters,{'1-step D-L dist': 1}
proxess, process, Common Typos,{'1-step D-L dist': 1}
mysqlw, mysql2, Common Typos,{'1-step D-L dist': 1}
xterm2, xterm, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
encode, bencode, Omitted Characters,{'1-step D-L dist': 1}
encode, encodr, Common Typos,{'1-step D-L dist': 1}
key-path, path-key, Swapped Words,{'sequence reordering': 1}
node-id, node-hid, Omitted Characters,{'1-step D-L dist': 1}
emoji-node, node-emoji, Swapped Words,{'sequence reordering': 1}
array-to-events, events-to-array, Swapped Words,{'sequence reordering': 1}
gulp-cleancss, gulp-clean-css, Omitted Characters,NA
jsonminify2, jsonminify, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
streambuffers, stream-buffers, Omitted Characters,{'delimiter modification': 1}
vue-resizesensor, vue-resize-sensor, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
wr, rw, Swapped Characters,NA
wr, wd, Common Typos,NA
array-to-stream, stream-to-array, Swapped Words,{'sequence reordering': 1}
fi, di, Common Typos,NA
menjs, memjs, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
flex-buffer, flexbuffer, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
flex-buffer, flexbuffer, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
parsley, parseley, Omitted Characters,{'1-step D-L dist': 1}
numbo, numbro, Omitted Characters,{'1-step D-L dist': 1}
djson, ndjson, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
djson, cjson, Common Typos,{'1-step D-L dist': 1}
vuedraggable2, vuedraggable, Version Number,{'1-step D-L dist': 1}
as-validator, oas-validator, Omitted Characters,{'1-step D-L dist': 1}
axes, saxes, Omitted Characters,{'1-step D-L dist': 1}
broccoli-template, broccoli-templater, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
http-browserify-2, http-browserify, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
node.cmd, node-cmd, Swapped Words,{'delimiter modification': 1}
node.cmd, node-cmd, Common Typos,{'delimiter modification': 1}
cllc, cloc, Common Typos,{'1-step D-L dist': 1}
object-entries, object.entries, Swapped Words,{'delimiter modification': 1}
object-entries, object.entries, Common Typos,{'delimiter modification': 1}
wb, sb, Common Typos,NA
@typed/i18next, @types/i18next, Common Typos,{'scope confusion': 1}
mockfs, mock-fs, Omitted Characters,{'delimiter modification': 1}
import2, import, Version Number,NA
rimraff, rimraf, Repeated Characters,{'1-step D-L dist': 1}
node-chrono, chrono-node, Swapped Words,{'sequence reordering': 1}
guild, build, Common Typos,{'1-step D-L dist': 1}
chai-sinon, sinon-chai, Swapped Words,{'sequence reordering': 1}
uz, us, Common Typos,NA
chakra, chakram, Omitted Characters,{'1-step D-L dist': 1}
node-blob, node-glob, Common Typos,{'1-step D-L dist': 1}
json-lines, jsonlines, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-lines, jsonlines, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
detect-installer, detect-installed, Common Typos,{'1-step D-L dist': 1}
